Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_norm,望月京都大学教授,Professor of Kyoto University.,Mochizuki Kyoto University Professor,0.5719433,0.05654688,0.5153964
abbrev_norm,東レ株式会社、品質データ改ざん,"East Residents, Improved Quality Data.","Toray Co., Ltd., quality data tampering",0.4692209,0.04295373,0.42626718
abbrev_norm,南アメリカペルーで地震 M7.3 • r/quake_jp,Earthquake on South America Peru.,Earthquake M7.3 • R/Quake_jp in South America Peru,0.5487552,0.95525694,0.4065017
abbrev_norm,トルコ原子力発電費用、想定の倍,That's what we're going to do.,"Türkiye nuclear power generation cost, double as expected",0.3945958,0.0,0.3945958
abbrev_norm,ねほりんぱほりんに出演したネットゲーム廃人「ボトラーは時間がかかって結局効率が悪い」  TIL,TIL,"Net game crap that appeared in Nehorinpahorin ""Botler takes time and is ultimately inefficient"" TIL",0.5386564,0.16008453,0.37857187
abbrev_norm,バレンタインのチョコレート  たかそう,It looks like Valentine's chocolate.,Valentine's chocolate,0.4808485,0.10411984,0.37672865
abbrev_norm,参議院予算委員会,The House of Representatives budget committee.,Upper House Budget Committee,0.36732537,0.0021948416,0.3651305
abbrev_norm,【歴史戦】自由民主党「日本の名誉と信頼を回復するための特命委員会」来週開催へ サンフランシスコ市の慰安婦像受け入れで – 産経ニュース,This week we will be hosting a news broadcast from San Francisco City.,"[History game] Liberal Democratic Party ""Special Metropolitan Committee for Restoring Japan's Honor and Trust"" To Held next week by accepting the comfort women of San Francisco - Sankei News",0.4135893,0.050311144,0.36327815
abbrev_norm,安倍ちゃん公認マスコミュニケーションだからね,It's cheap. It's official mass communication.,Abe -chan's official mass communication,0.43951413,0.07974023,0.3597739
abbrev_norm,日本経済団体連合会が発狂する,The Japanese Economic Association is going mad.,The Japan Economic Organization Federation goes crazy,0.41186988,0.05934374,0.35252613
