Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_orig,望月京大教授,Professor in Tokyo.,Professor Mochizuki Kyoto University,0.6427966,0.18192497,0.4608716
abbrev_orig,安倍ちゃん公認マスコミだからね,That's why I'm here.,Abe -chan's official media,0.46017358,0.049907643,0.41026592
abbrev_orig,ぼく「はあああああ！！！仕事行きたくない...憂鬱すぎて今日も昼寝をしてしまった...」LLLくん「GET FREEDOMしろよ」ぼく「LLLくん！？」  杏ちゃんいじめたらDVられたなうだよ......,"""Oh, I don't want to go to work!","I'm ""Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhededededingsements ...It's been ...",0.4040697,0.0,0.4040697
abbrev_orig,諦めてグーパンで潰そう,Let's just give it up and throw it in the pan.,Give up and crush it with a goupan,0.4600366,0.0688635,0.3911731
abbrev_orig,進化するサバゲー,Evolutionary sabbage.,Evolved sabage,0.46282992,0.08740239,0.37542754
abbrev_orig,バレンタインのチョコ  たかそう,It looks like Valentine's chocolate.,Valentine's chocolate,0.509577,0.13448237,0.3750946
abbrev_orig,参院予算委,I'll give you that money.,Upper House Budget Committee,0.49613383,0.12978318,0.36635065
abbrev_orig,アフィの親玉だし,I'm Afi's boss.,Affi's main ball,0.58029187,0.21442261,0.36586925
abbrev_orig,アメ車みたいに馬力で解決する発想,It's like a candy car. It's a horse-powered idea.,The idea of ​​solving it with horsepower like an American car,0.5076306,0.14895199,0.35867858
abbrev_orig,なぜ人々はヤフコメだと上から目線なのか,I'm going to ask you a question.,Why are people looking from above if they are yaf rice?,0.5171108,0.17456323,0.3425476
