Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_orig,本日のポプテピピック声優予想スレ,Today's Poppete Pisces . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Today's Pop Team Epic Voice Actor Prediction Thread,-0.9877527,-0.46301016,0.5247425
abbrev_orig,試合中にユーチューバーが大声、選手妨害で退場に 全豪OP,"You know, when you're in the game, you're like, ""Oh, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah.","YouTuber is loud during the match, the Australian OP to be sent off due to athletes",-0.86317056,-0.50153977,0.3616308
abbrev_orig,おいおい反日野郎は永眠させられるぞ,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.",Hey anti -Nihonoro will be able to sleep forever,-0.8352694,-0.48646683,0.34880257
abbrev_orig,ネットで買った製品に開封した形跡が......あなたならどうする？  また君かあ、壊れるなあ,"It's like, you know, you're going to open up a product on the Internet. &gt;&gt;What would you do? &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt; Yeah. &gt;&gt; Yeah. &gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; &gt;&gt; Yeah. &gt;&gt; &gt;&gt;&gt; Yeah. &gt; Yeah. &gt;&gt;&gt;&gt;&gt;&gt; Yeah. &gt;gt;&gt;&gt;&gt;&gt;&gt; Yeah.",The evidence of the product you bought on the net ... what would you do?You're broken again,-0.7882875,-0.4979188,0.2903687
abbrev_orig,ゲームのために嘘ついてGet Freedomした  モンハン今やってるけど面白いんご,"You're lying to me about a game, you're lying to me about it, and you're lying about it, and you're lying about it, and you're lying about it, and you're lying about it, and you're lying about it, and you're lying about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it, and you're talking about it.","Get FREEDOM I lied for the game, I'm doing Monhan now, but it's interesting",-0.76664543,-0.5269332,0.23971224
abbrev_orig,クリスマスイブ、みんなの彼女、まほしょ召喚！\\フォン/  まほしょは俺のペットだから,"It's Christmas Eve, everybody's girlfriend is calling me off! &lt;i&gt;You're my pet.&lt;/i&gt;&lt;/i&gt; &lt;i&gt; &lt;i&gt; &lt;i&gt;It's Christmas Eve.&lt;/i&gt; &lt;i&gt; &lt;i&gt;You're my dog.&lt;/i&gt; &lt;i&gt;","Christmas Eve, everyone's girlfriend, summoning Mahosho!\\ phon/ Mahosho is my pet",-0.766365,-0.42521194,0.34115306
abbrev_orig,オルタナティヴ音楽の系譜が、美しい「回路基板」のようなポスターに──英デザインスタジオが制作,"And I'm going to show you an example of what I'm going to show you in the next video, and I'm going to show you a poster that has a line of Ortanativ music, which is like a beautiful ""circuitboard board,"" and I'm going to show you a picture of an English design studio, and I'm going to show you a picture of it, and I'm going to show you a picture of it, and I'm going to show you a picture of it, and I'm going to show you a picture of it, and I'm going to show you a picture of it, and I'm going to show you, and I'm going to show you a picture about it, and I'm going to show you, and I'm going to show you'm going to show you, and I'm going to show you, and I'm going to show you'm going to show you're going to show you a little bit of pictures about it.","The genealogy of alternative music is a poster like a beautiful ""circuit board"" ── The English Design Studio is produced",-0.74411577,-0.53849536,0.20562041
abbrev_orig,ノーダメクリアとかタイムアタックとかむりすぎる,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",Nodame clarity or time attack is too much,-0.7401597,-0.54123765,0.19892204
abbrev_orig,「仮想通貨のマイニングをすぐに始められるPC」がドスパラで販売中PC組み立てやマイニングの初期設定までを代行、納期は1ヶ月,We're going to have to do a little bit more research on how to do this. &gt;&gt;Hugo Barra: &gt;&gt;Hugo Barra: Thank you. &gt;&gt;Hugo Barra: Thank you. &gt;&gt;Hugo Barra: Thank you very much. &gt;&gt;Hugo Barra:,"""PCs that can start virtual currency mining immediately"" is on sale at Dospara, and the delivery time is one month, until the initial setting of the mining is on sale.",-0.72550523,-0.4992926,0.22621262
abbrev_orig,国連、海のプラごみ削減へ新組織 政策や代替品検討  ちょっとしたものでもビニール入れる風潮マジで止めてくれませんか   毎回袋要りませんって言うの疲れるしだるいし,"I'm tired of saying that we don't need a bag every time, and I'm tired of saying that we're going to have a little bit of wind in the air, and that we're going to have a little bit of air, and that we're going to have a lot of water, and we're going to have a lot of water, and we're going to have a lot of water, and we're going to have a lot of water, and we're going to have a lot of water, and we're going to have a lot of water, and we're going to have a lot of water, and we're going to have a lot of water, and we're going to have a lot of water.","UN, sea plastic garbage reduction to reduction, new organizational policy and alternative items can be put in vinyl.",-0.72381884,-0.54335666,0.18046218
