Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
abbrev_orig,In this thread: guess who will be today's Pop Team Epic voice actor.,Today's Poppete Pisces . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Today's Pop Team Epic Voice Actor Prediction Thread,-0.8247038,0.33725414,1.161958
abbrev_orig,The prize money for the Tokyo Olympics mascot is 1 million yen (tax included).,(Laughter) (Applause),Tokyo Olympics mascot prize money 1 million yen (tax included),-0.27435386,0.73222697,1.0065808
abbrev_orig,Upper House Budget Committee.,I'll give you that money.,Upper House Budget Committee,0.062352512,0.9591713,0.89681876
abbrev_orig,"YouTuber starts screaming, and gets kicked out due to obstruction against the players All Australian OPEN","You know, when you're in the game, you're like, ""Oh, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah.","YouTuber is loud during the match, the Australian OP to be sent off due to athletes",-0.3874985,0.45432168,0.8418202
abbrev_orig,"""PCs ready for mining cryptocurrency"" sold on dospara are being built and having the initial mining setup done, expected delivery in one month.",We're going to have to do a little bit more research on how to do this. &gt;&gt;Hugo Barra: &gt;&gt;Hugo Barra: Thank you. &gt;&gt;Hugo Barra: Thank you. &gt;&gt;Hugo Barra: Thank you very much. &gt;&gt;Hugo Barra:,"""PCs that can start virtual currency mining immediately"" is on sale at Dospara, and the delivery time is one month, until the initial setting of the mining is on sale.",-0.3672588,0.46324185,0.8305006
abbrev_orig,"There are signs that the item I ordered online has already been opened... If it was you, what would you do?  You again? It is going to break.","It's like, you know, you're going to open up a product on the Internet. &gt;&gt;What would you do? &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt; Yeah. &gt;&gt; Yeah. &gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; &gt;&gt; Yeah. &gt;&gt; &gt;&gt;&gt; Yeah. &gt; Yeah. &gt;&gt;&gt;&gt;&gt;&gt; Yeah. &gt;gt;&gt;&gt;&gt;&gt;&gt; Yeah.",The evidence of the product you bought on the net ... what would you do?You're broken again,-0.4593394,0.36263272,0.82197213
abbrev_orig,"""Super Bomberman R"" for sale on PS4/XB1/PC in June.",I'm going to show you a couple of examples.,"""Super Bonbaman R"" will be released in June on PS4/XB1/PC",-0.12667637,0.6916504,0.8183268
abbrev_orig,It's the Christmas Eve. I'll summon mahosho who is everyone's girlfriend! \\vwon/ Mahosho is my pet.,"It's Christmas Eve, everybody's girlfriend is calling me off! &lt;i&gt;You're my pet.&lt;/i&gt;&lt;/i&gt; &lt;i&gt; &lt;i&gt; &lt;i&gt;It's Christmas Eve.&lt;/i&gt; &lt;i&gt; &lt;i&gt;You're my dog.&lt;/i&gt; &lt;i&gt;","Christmas Eve, everyone's girlfriend, summoning Mahosho!\\ phon/ Mahosho is my pet",-0.33146122,0.48359668,0.8150579
abbrev_orig,I want to make a new version of ARK (DLC)...,(Laughter),I want to make a new ARK (DLC) ...,0.031730898,0.8285342,0.7968033
abbrev_orig,"Come on, anti-Japan dudes would be put to sleep eternally.","Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.",Hey anti -Nihonoro will be able to sleep forever,-0.5416134,0.25455526,0.7961687
