Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
colloq_norm,Laughing bahaha,It's straw. Heh.,Tohehehehe,0.038007997,-0.37173298,0.40974098
colloq_norm,"I'm defragging my computer, but it's taking forever...",It's not over. It's not over.,Defrag does not end,0.07097072,-0.06606177,0.1370325
colloq_norm,Cheers!,It's hot.,Kanpai,0.17682184,-0.058684923,0.23550677
colloq_norm,Good work.,Good afternoon.,Hesitancy,0.3203034,-0.051020604,0.371324
colloq_norm,Kawaii~,That's cute.,cute,-0.022767646,-0.017363207,0.005404439
colloq_norm,And then even he falls off...lol.,The last thing I knew was that I was messing around with myself.,"Finally, I was mossy to myself",0.09773934,0.051864307,0.04587503
colloq_norm,So nice~,All right?,I don't like it,-0.094711326,0.086413436,0.18112476
colloq_norm,"Maekawa to Prime Minister Abe ""If you're able to escape, I will doubt democracy""  He's already escaped, and I'm sorry to say that he wasn't given any damage at all","Mr. Ogawa said to the Prime Minister, ""If you can get away with it, you've got to get away with it.""","Mr. Maekawa was ""doubt if he could escape if he could escape.""",0.17593716,0.09272938,0.08320778
colloq_norm,BLAM!,Boom!,Dokan!,0.46414065,0.09507438,0.36906627
colloq_norm,No matter how you think about it is sure it cute.,"She's cute, though, isn't she?",It ’s cute no matter what,0.06290945,0.09778066,0.034871213
