Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
colloq_norm,I'm hungry.,I'm hungry.,Hungry,0.99999964,0.18193632,0.8180633
colloq_norm,This is interesting.,This is interesting.,This is interesting,0.9999993,0.92997044,0.07002884
colloq_norm,Not.,No.,Indistinguishable,0.9965422,0.12132208,0.8752201
colloq_norm,Mama!,Mom!,Mom!,0.9949519,0.9949519,0.0
colloq_norm,"Ah, I can only drink cold water or hot water.","Oh, I can only drink water or hot water.","Oh, I can only drink water or hot water",0.8838648,0.8520167,0.031848133
colloq_norm,I don't know...,I don't know.,I don't know...,0.8037991,1.0,0.1962009
colloq_norm,Aqua is cute.,It's so cute.,Aqua cute,0.77721626,0.6124775,0.16473877
colloq_norm,Looks delicious.,It looks delicious.,It looks delicious,0.75540394,0.70637304,0.0490309
colloq_norm,I want to become macho.,I want to be a hero.,I want to be a macho,0.7410839,0.80147564,0.060391724
colloq_norm,Good morning poki.,Good morning.,Good morning pook,0.73498654,0.6897073,0.045279264
