Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
colloq_orig,どっちかというと/r/NewsSokuhou_R/,I'm not sure if I'm going to be able to do that.,Either way/r/newssokuhou_r/,-0.47647694,0.0886712,0.5651481
colloq_orig,Citrus いいゾ～これ  r/anime,"Catrus, this is r/anme",Citrus Good ~ This is R/Anime,-0.12256486,0.081032306,0.20359716
colloq_orig,|アルミ|ゴム|電線|ゴム|アルミ||:-:|:-|:-|:-|:-|  ってことけ？,I don't know what you're talking about.,| Aluminum | Rubber | Electric | Rubber | Aluminum ||:-|:-|:-|-|,-0.45914304,0.07766561,0.53680867
colloq_orig,(´･д･`)やだ！,No!,('・ Д ・ `) Yeah!,-0.44217607,-0.088276014,0.35390007
colloq_orig,ドュカン!,Docun!,Dukan!,-0.031613648,-0.0939884,0.062374756
colloq_orig,三月かぁ,"It's March, isn't it?",March,-0.40951744,-0.10087365,0.3086438
colloq_orig,二次キッツイもんな。,It's a second-rate hobby.,Secondary kitzii.,-0.18822756,-0.121114425,0.06711314
colloq_orig,かわええ～（╹◡╹）,I'm sorry.,Kawae ~ (╹),-0.40833682,-0.14572664,0.2626102
colloq_orig,おはみら☀  おやすみらなさい💤  でも...  今夜のスーパームーン...🌕,"Good night, but... tonight's super moon...",Ohamira ☀ Good night 💤 But ... Tonight's Super Moon ... 🌕,-0.40675676,-0.1696463,0.23711047
colloq_orig,まめちゃん🌱どこ〜？,Where's your wife?,Mame -chan 🌱 Where?,-0.5806781,-0.18976523,0.3909129
