Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
colloq_orig,why are you laughing,What's wrong with you?,Nanawarotenen,0.28438297,-0.28934914,0.57373214
colloq_orig,That girl is cute.,A girl's gotta do something.,Girls ~,0.38311505,-0.16674083,0.5498559
colloq_orig,Laughing bahaha,I'm in trouble. I'm in trouble. I'm in trouble.,To Woraru Ehehe,-0.08912466,-0.11452725,0.02540259
colloq_orig,You're late!,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",OK,-0.31688553,-0.1081781,0.20870742
colloq_orig,You're early.,I'm sorry.,Haeyo,0.41357526,-0.10090614,0.5144814
colloq_orig,Cheers!,"It's okay. It's okay. It's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay.",Kanpai,-0.4403792,-0.058684923,0.3816943
colloq_orig,Feeling emotional.,It's Emo.,Emoi,0.5564381,-0.020114694,0.5765528
colloq_orig,so cute ～（╹◡╹）,I'm sorry.,Kawae ~ (╹),-0.2712697,-0.010511513,0.2607582
colloq_orig,it's an amazing one.,"Oh, my God.",Susugi,0.16913845,-0.0021620574,0.1713005
colloq_orig,Aqua is cute.,It's a little hot.,Aqua Kawaii,0.52808166,0.0058137523,0.5222679
