Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
colloq_orig,たま～に重機を運転したくなる衝動にかられてコベルコとかコマツの教習所のスケジュール チェックしてしまう  小型車両系（整地・掘削）の講習なら2日で終わるし楽しいぞい,The urge to drive a heavy machine in the morning will cause you to check the schedules of Kobelko or the school's school. &gt;&gt;Hugo Barra and Seung Jo. &gt;&gt;It's fun. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt; &gt;&gt; &gt;&gt;Yeah. &gt;&gt; Yeah. &gt;&gt; &gt;&gt; &gt;&gt;&gt; Yeah. &gt;&gt;&gt;&gt; &gt;&gt;&gt;&gt; &gt;&gt; &gt;&gt;&gt; &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt&gt&gt&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt,"Occasionally, you will want to drive heavy equipment and check the schedule of Kobelco and Komatsu's driving school.",-0.9868073,-0.44619647,0.5406108
colloq_orig,かんぱぁい,"It's okay. It's okay. It's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay.",Kanpai,-0.7934638,-0.3628174,0.43064642
colloq_orig,weeklong dealsをすべてチェックするのが楽しみだとr/steamで話題に  たまーに800以上のおススメが表示されるんだけど、更新したら6に戻るw,We're going to go to the R/S team and we're going to talk about how much fun we're going to have to check all of them out. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt;Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt; Yeah. &gt;&gt;&gt; Yeah. &gt;&gt;&gt; Yeah. &gt;&gt; Yeah. &gt; Yeah. &gt;gt;gt;gt;gt;gt;gt;gt;gt;gt;gt;gt;gt;&gt;gt;&gt;&gt;&gt;&gt;gt;gt;&gt; Yeah.,"If you are looking forward to checking all Weeklong Deals, R/Steam sometimes displays more than 800 recommendations, but if you update it, it will return to 6.",-0.79031044,-0.4423276,0.34798285
colloq_orig,はずかちい...,That's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's... that's...,It's so bad ...,-0.74409,-0.42662212,0.3174679
colloq_orig,ビットコインで儲けた人に次々と税務署の調査！多額追徴課税！  申告しねーからだバーカ,"I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to go to the tax office, and I'm going to the tax office, and I'm going to go to the tax office, and I'm going to the tax office, and I'm going to the tax office, and I'm going to the tax, and I'm going to the tax office, and I'm going to the tax, and I'm going to the tax, and I'm going to the tax, and I'm going to the tax.",Investigate the tax office one after another to those who made money with bitcoin!Large additional tax!Don't declare Karako Barka,-0.7256518,-0.5207875,0.20486432
colloq_orig,たのちいよ,"- It's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay.",I'm sure,-0.6707065,-0.401489,0.26921752
colloq_orig,おせーよ,"No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no.",OK,-0.6612361,-0.27876276,0.38247335
colloq_orig,LLLerでよくみるレスポンス「すごい」「えらい」「かわええ〜」,"""I see a lot of lemurs and lemurs and lemurs and lemurs and lemurs and lemurs and lemurs and lemurs and lemurs and lemurs and lemurs and lemurs and lemurs.""","LLLER's response ""Awesome"" ""great"" ""Kawaie ~""",-0.64018726,-0.28373384,0.35645342
colloq_orig,財務省、森友交渉記録「まだ存在」＝参院予算委  「今から消しま～す（笑）」,"We're still here, we're still here, we're not here yet, we're not here, we're not here yet.","The Ministry of Finance, Moritomo Negotiations record ""Still existing"" = Upper House Budget Committee ""Erase it now (laughs)""",-0.60384655,-0.5394394,0.06440717
colloq_orig,イヌもこんな表情するのかﾜﾗﾀ,"Do dogs look like this, Wallata?",Do dogs also look like this?,-0.59299564,-0.5369047,0.05609095
