Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
proper,みらちゃん♡( ๑´•ω•)۶”( ; _ ; ),"I'm sorry, I'm sorry, I'm sorry, I'm sorry.",Mira -chan ♡ (๑´ • ω •) ۶ ”(; _;),-0.63171387,0.32397312,0.955687
proper,🎊  *(小声) BiSHの曲* (〃'∇'〃),(Singing) (Singing),🎊 * (small voice) Bish song * (〃'∇'〃),-0.3369564,0.417127,0.7540834
proper,TOP->人気の近日登場->近日中リリース->ウィッシュリスト上位->すべて閲覧,♪ ♪ ♪ ♪ ♪ ♪ The ♪ ♪ ♪ The ♪ ♪ The ♪ ♪ The ♪ ♪ the ♪ ♪ the ♪ ♪ the ♪ ♪ the ♪ the ♪ the ♪ the ♪ ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the  the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the  the  the  the  the  the  the  the  the ♪ the ♪ the ♪ the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the the  the  the  the  the  the the the the the the the the the the the the the the the the the  the  the the the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the the the,TOP-> Appeared Popular soon-> Released in the near future-> Wish List Top-> Browse all,-1.0112234,-0.39737996,0.61384344
proper,第76回 ハッカーニュースTOKYO MEETUP 2017-12-06（水）18:30 - 23:00 SuperDeluxe Roppongi 東京都港区西麻布3-1-25 B1F,The 76th hacker News,76th Hacker News TOKYO MEETUP 2017-12-06 (Wed) 18:30-23:00 3-1-25 B1F B1F B1F,-0.52103466,0.051623803,0.5726585
proper,21:00 串カツ横綱 うまい！,"It's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good.",21:00 Kushikatsu Yokozuna Umai!,-0.757917,-0.20562679,0.5522902
proper,TwitterJapan、クレーム対応に老人を土下座させて処理する。,We'll take care of the old people by subsiding them to TwitterJ&lt;i&gt;to TwitterJ&lt;/i&gt; &lt;i&gt; &lt;/i&gt; &lt;/i&gt; &lt;i&gt; &lt;/i&gt; &lt;i&gt; &lt;i&gt; &lt;i&gt; &lt;i&gt;,"TwitterJapan, treating the old man in the prostrate for complaints.",-0.82261485,-0.2708021,0.55181277
proper,本日のポプテピピック声優予想スレ,Today's Poppete Pisces . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Today's Pop Team Epic Voice Actor Prediction Thread,-0.9877527,-0.46301016,0.5247425
proper,那覇地裁,Sergei.,Naha District Court,-0.0921276,-0.59885323,0.5067256
proper,大阪~~行きたい~~戻りたい(๑•́ ₃ •̀๑),I want to go back.,I want to go to Osaka ~~ I want to go back (๑ • ́ ₃ • ̀),-0.35581598,0.14855017,0.50436616
proper,ジルオール好きなやつちょっとこい,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.",Jilloul lover's favorite guy,-0.9346311,-0.44727716,0.48735395
