Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
proper,みらちゃん♡( ๑´•ω•)۶”( ; _ ; ),"I'm sorry, I'm sorry, I'm sorry, I'm sorry.",Mira -chan ♡ (๑´ • ω •) ۶ ”(; _;),0.26583445,0.9158865,0.6500521
proper,那覇地裁,Sergei.,Naha District Court,0.6437975,0.082617946,0.5611796
proper,🎊  *(小声) BiSHの曲* (〃'∇'〃),(Singing) (Singing),🎊 * (small voice) Bish song * (〃'∇'〃),0.47230273,1.0,0.52769727
proper,気象庁,Weather Service.,Japan Meteorological Agency,0.450944,0.0,0.450944
proper,トレハロース論争,The Trehaloth debate.,Trehalose controversy,0.50329286,0.08089054,0.42240232
proper,望月京大教授,Professor in Tokyo.,Professor Mochizuki Kyoto University,0.55508184,0.15826376,0.3968181
proper,梅田いってくる,I'm going to Umeta.,Umeda,0.44404364,0.053336006,0.39070764
proper,麻布警察署,M.I.P.D.,Azabu police station,0.48620367,0.10729132,0.37891236
proper,森友学園の管財人が申し立て,A friend of mine from Moricho University filed a complaint.,Moritomo Gakuen trustee filed,0.43883187,0.06462371,0.37420815
proper,三菱ジェット、実機展示見送り,I'm going to show you a couple of examples.,"Mitsubishi Jet, actual machine exhibition delivery",0.40724704,0.0406803,0.36656675
