Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
proper,I forgot my password.,I forgot my password.,I forgot the password,1.0000014,0.7664367,0.23356473
proper,Winter sports.,Winter sports.,Winter sports,1.0,0.8364281,0.1635719
proper,Iwaki!,Iwaki!,Iwaki!,0.9999989,0.9999989,0.0
proper,Professional baseball.,Professional baseball.,Professional baseball,0.99999857,0.8453126,0.15468597
proper,Sandwichman.,Sandwichman.,Sandwich man,0.99999684,0.4796102,0.52038664
proper,I am going to Italy.,I'm going to Italy.,I'm going to Italy,0.96060866,0.9206897,0.03991896
proper,Win10 is crap.,Win10 is shit.,Win10 is,0.9438197,0.5279026,0.4159171
proper,I bought a fully automatic espresso maker.,I bought an automatic espresso maker.,I bought a fully automatic espresso maker,0.93801445,0.96536154,0.027347088
proper,These socks are as thick as bricks.,These socks are thick as bricks.,This sock is thick like a brick.,0.9345898,0.8377874,0.09680241
proper,The king's ears are donkey's ears.,The king's ear is a donkey's ear.,The king's ear is a donkey's ear,0.86988914,0.80137604,0.068513095
