Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
proper,TOP-> Popular Coming Soon-> Coming Soon-> Wish List Top-> View All,♪ ♪ ♪ ♪ ♪ ♪ The ♪ ♪ ♪ The ♪ ♪ The ♪ ♪ The ♪ ♪ the ♪ ♪ the ♪ ♪ the ♪ ♪ the ♪ the ♪ the ♪ the ♪ ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the  the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the ♪ the  the  the  the  the  the  the  the  the ♪ the ♪ the ♪ the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the the  the  the  the  the  the the the the the the the the the the the the the the the the the  the  the the the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the  the the the,TOP-> Appeared Popular soon-> Released in the near future-> Wish List Top-> Browse all,-0.8921613,0.549983,1.4421444
proper,In this thread: guess who will be today's Pop Team Epic voice actor.,Today's Poppete Pisces . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .,Today's Pop Team Epic Voice Actor Prediction Thread,-0.8247038,0.33725414,1.161958
proper,"Harimoto is No.1 even at studies,  ""1.Health, 2. Studies"" How about Table Tennis? Amazing. Health is number 1, right? Health is important.",What's the best way to do it? &gt;&gt;What's the best way to do it? &lt;i&gt;What's the best way to do it?&lt;/i&gt; &lt;i&gt; &lt;i&gt;What's the best way to do it? &lt;i&gt;What's the best way to do it? &lt;i&gt;What's the best way to do it? &lt;i&gt;What's the best way to do it? &lt;i&gt;What's the best way to do it?&lt;/i&gt; &lt;i&gt;What's the best way to do it? &lt;i&gt; &lt;i&gt;i&gt;I's the best way to do it's the best thing. &lt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&i&lti&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&i&i&i&gt;i&i&gt;i&gt;i&i&i&i&gt;i&i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i&gt;i,"Even when studying Harimoto, what is the best table tennis in Japan, ""Health in 1, 2 for 2""?Is it amazing?It's important",-0.75346327,0.14828423,0.90174747
proper,"2017 New Year's specials. NHK ""Kouhaku"". Nippon TV ""Gaki no Tsukai"". TV Tokyo ""Kodoku No Gurume"". This is just my opinion, but those who hold TV Tokyo in high regard seems to be the same people who like Kouhaku, so it might be a fierce competition. Ah, with the anime block I guess there's no support this year.","New Year's Eve, New Year's Eve, New Year's Eve, New Year's Eve, NHK's ""Snow White"" Day, Japan's ""Spirit of Loneliness"" . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","2017 New Year's Eve Special NHK ""Red and White"" Nippon Television ""Gaki Make"" TV Tokyo ""Gourmet of Soleness""I wonder if there is no support",-0.63748384,0.2270881,0.8645719
proper,"Japan conference “it is your own responsibility as someone being born as a lower class citizen! Shine!""","I'm going to tell you a little bit about it, and I'm going to tell you a little bit about it. &gt;&gt;I'm going to tell you a little bit about it. &gt;&gt;I'm going to tell you a little bit about it. &gt;&gt;I'm going to tell you a little bit about it. &gt;&gt;I'm going to talk about it. &gt;&gt;I'm going to tell you about it. &gt;&gt;I'm going to tell you about it. &gt;&gt;I'm going to tell you about it. &gt;&gt;&gt;&gt;I'm going to tell you. &gt;&gt; &gt;&gt;&gt;&gt;&gt;I'm going to tell you'm going to talk about it. &gt;&gt; &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;I","Japan Conference ""Self -responsibility born to lower -class people! SHINE!""",-0.60114557,0.32761142,0.92875695
proper,"TwitterJapan, to deal with complaints elderly people are made to bow to the ground in apology.",We'll take care of the old people by subsiding them to TwitterJ&lt;i&gt;to TwitterJ&lt;/i&gt; &lt;i&gt; &lt;/i&gt; &lt;/i&gt; &lt;i&gt; &lt;/i&gt; &lt;i&gt; &lt;i&gt; &lt;i&gt; &lt;i&gt;,"TwitterJapan, treating the old man in the prostrate for complaints.",-0.58990055,0.2875512,0.8774518
proper,Mira ♡( ๑´•ω•)۶”( ; _ ; ),"I'm sorry, I'm sorry, I'm sorry, I'm sorry.",Mira -chan ♡ (๑´ • ω •) ۶ ”(; _;),-0.54539335,0.5667455,1.1121389
proper,"21:00 Kushikatsu Yokozuna, delicious!","It's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good, it's good.",21:00 Kushikatsu Yokozuna Umai!,-0.49240065,0.75676394,1.2491646
proper,[“Mokomoko technique” * “Same with Shizue” * ** “Complete small dog manual” **] (# mm-c20) [···· ** all?,The whole thing...*?????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,"[""Mokomoko Technique""*""With Shizue-san""**""Complete small dog manual"" **] (#mm-C20) [... ** all?",-0.49097565,0.5867959,1.0777715
proper,If you like Jill Oll come here for a little bit.,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey.",Jilloul lover's favorite guy,-0.47253424,-0.004915661,0.46761858
