Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
variant_norm,This atmosphere is LLLLL.,This atmosphere is LLLLL.,This atmosphere is LLLLL,0.99999964,0.95206004,0.0479396
variant_norm,It's abuse!,It's abuse!,Abuse!,0.99999756,0.33168724,0.6683103
variant_norm,I love you darling.,"I love you, darling.",I love you Darling,0.9625345,0.88725835,0.07527614
variant_norm,It is my birthday.,It's my birthday.,I'm my birthday,0.9480845,0.61459965,0.33348483
variant_norm,Rhydon's earthquake!,Cydon's earthquake!,Side earthquake!,0.94066316,0.31247172,0.6281915
variant_norm,steam game,team game,Steam game,0.9359442,0.9918462,0.055902004
variant_norm,Mom is gonna use it,Mom's gonna use it.,Mom uses it,0.8697839,0.68380916,0.18597472
variant_norm,That's unfair!,That's not fair!,Slow!,0.84258085,0.28082982,0.561751
variant_norm,I am drunk now.,I'm drunk.,I'm drunk now,0.79501,0.91044235,0.11543238
variant_norm,Cheers!,Cheers.,cheers,0.7930898,0.070187055,0.7229028
