Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
variant_norm,"Woo woo!!! Friday!  No work tomorrow!  Woo, wooo!!! (repeat for ever)",Ha Ni!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Huff!!!Friday!Closed tomorrow!!Huff!!!!Hoooo!!!Hoooo!!!!Somehow long,-0.3583305,0.11979996,0.47813046
variant_norm,What is this warmth!!!!!,Ha Ni!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,What a warmth!!!!!,-0.2868777,0.42606413,0.7129418
variant_norm,so cute ～（╹◡╹）,It's so cute,Cute ~ (╹),-0.21368878,0.16379264,0.3774814
variant_norm,Hehehe.,I don't know. I don't know. I don't know.,Plump,-0.13286765,-0.13828622,0.005418569
variant_norm,"Japan conference “it is your own responsibility as someone being born as a lower class citizen! Shine!""","I'm going to tell you a little bit about this, and I'm going to tell you a little bit about it, and I'm going to tell you a little bit about it, and I'm going to tell you a little bit about it, and I'm going to tell you a little bit about it.","Japan Conference ""Self -responsibility born to lower -class people! Die!""",-0.09896976,0.29770353,0.3966733
variant_norm,"Fundamental flaw in Intel's processor chips necessitates updates to every OS  I was thinking about upgrading any time now, I wonder if I should go with ryzen  Goodbye, Intel","Intel's processor chip has a basic design flaw, and we need to update each of the OSs, so we're going to want to buy it, and next time we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, we're going to buy it, and we're going to buy it, we're going to buy it.","A fundamental design flaw discovers Intel's processor chips, the need for updating to each OS I wanted to buy a new one, and next time I would like to do it with Ryzen.",-0.07667994,0.21119015,0.28787008
variant_norm,Orichalcum?,Oriharcon?,Orichalcon?,-0.07532697,0.611293,0.68662
variant_norm,The power of science is great!,"Oh, my God! Oh, my God!",The power of cracking is amazing!,-0.049952995,0.7430535,0.7930065
variant_norm,"“Give me an order, captain”(#bn-fuki5) ⊂＝[konozama](#bn-dq1)","Ma'am, I need you to tell me what to do.","[Colonel, give instructions] (#bn-fuki5) ⊂ = [this zama] (#bn-dq1)",-0.044090506,0.39560637,0.43969688
variant_norm,"The ""Self Defense Force Best Body 2018"" event will be held to determine the most beautiful macho body in the Self Defense Force! Feast your eyes on the strong muscles of members from the ground, sea, and air units ♡ Ground boiler technical officers and such have tons of free time, so if they devote themselves to lifting weights they should win in a landslide, right?","We're going to have our best self-preservation team, 2018 self-preservation team, and we're going to nail it to the healthy muscles of the land, sea, and air crew.","The Self -Defense Force will decide the best beautiful macho ""Self -Defense Force Best Body 2018"" will be held!It is nailed to the healthy muscles of land, sea, and empty members ♡ Because it is a boiler technician on the land, it will be a very excessive time, so if you concentrate on muscle training, it will be a good idea.",0.070802614,0.316437,0.24563439
