Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
variant_norm,"Yes, Atami",It's a hot sea.,"Um, Atami",0.08112625,0.9627382,0.88161194
variant_norm,The power of science is great!,"Oh, my God! Oh, my God!",The power of cracking is amazing!,-0.049952995,0.7430535,0.7930065
variant_norm,Cheers!,Cheers.,cheers,0.7930898,0.070187055,0.7229028
variant_norm,What is this warmth!!!!!,Ha Ni!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,What a warmth!!!!!,-0.2868777,0.42606413,0.7129418
variant_norm,Orichalcum?,Oriharcon?,Orichalcon?,-0.07532697,0.611293,0.68662
variant_norm,It's abuse!,It's abuse!,Abuse!,0.99999756,0.33168724,0.6683103
variant_norm,Rhydon's earthquake!,Cydon's earthquake!,Side earthquake!,0.94066316,0.31247172,0.6281915
variant_norm,Leave it to Santa,I'll leave it to Santa Claus.,Leave it to Santa,0.3853767,1.0000007,0.614624
variant_norm,That's unfair!,That's not fair!,Slow!,0.84258085,0.28082982,0.561751
variant_norm,Ieyasu Tokugawa...,Mr. Tokugawa...,Ieyasu Tokugawa ...,0.39776772,0.9509066,0.55313885
