Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
variant_orig,[大佐、指示をくれ](#bn-fuki5)   ⊂＝[konozama](#bn-dq1),Tell me what you're gonna do.,"[Colonel, give instructions] (#bn-fuki5) ⊂ = [konozama] (#bn-dq1)",-0.3243676,0.24563156,0.56999916
variant_orig,イイ,Okay.,Good,0.17391461,0.12481874,0.04909587
variant_orig,こわい...,I'm scared.,scary...,-0.14985298,0.029440641,0.17929362
variant_orig,LLLがあんしんなの,I have an LLL.,LLL is good,-0.08741606,0.012281207,0.09969727
variant_orig,このふいんきがLLLLL,It's called LLLLLLL.,This fluff is LLLLL,-0.048839122,-0.07302083,0.024181709
variant_orig,二次キッツイもんな。,It's a second-rate hobby.,Secondary kitzii.,-0.18822756,-0.121114425,0.06711314
variant_orig,かわええ～（╹◡╹）,I'm sorry.,Kawae ~ (╹),-0.40833682,-0.14572664,0.2626102
variant_orig,steamげーむ,"Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",Steam game,-0.6103366,-0.18286726,0.42746934
variant_orig,( 'A`)φ < 資格を取るんだ・・・  足デカいから履けない,I can't wear it because it's too big.,('A`) φ <I get a qualification ... I can't wear it because my legs are big,-0.4108185,-0.18354428,0.22727421
variant_orig,いちごはwaifuです,I'm going to show you an example of this.,Strawberry is Waifu,-0.35084063,-0.21681355,0.13402708
