Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
variant_orig,"The Ministry of Health, Labour and Welfare reported an all time high number of life preservation households. They have been increasing for 6 months. That is strange because the economy is doing well.",The number of welfare families has increased for the past six months in a series of months.,,0.38971883,-4.9250746,5.3147936
variant_orig,"Ninja's ""Real side"". Foreigner say ""It is fresh rather than a stereotype"". ""Communicate the correct traditional culture of  ninjas to foreigners"". What the Japanese think are ninjas are ninjas as well.",Japanese ninjas are also ninjas.,,0.30217245,-4.9250746,5.227247
variant_orig,Hehehe.,It's a pike.,Pukukukukukukukukukukukukukukukukukukuku,-0.07389773,-0.38601133,0.3121136
variant_orig,"What is this, perishable food?",You're a sea cucumber.,Sneaky,0.062406544,-0.24772193,0.31012848
variant_orig,Ieyasu Tokugawa...,Tokugarweyersu...,Tokuger Wayasu ...,-0.27520818,-0.19000502,0.085203156
variant_orig,Orichalcum?,What are you doing?,Odorukon?,-0.31238306,-0.11916003,0.19322303
variant_orig,I can't read.,"Oh, my God.",Yome Nyai ...,0.16653565,-0.110071406,0.27660704
variant_orig,Shout it out loud.,Let's get out of here. Let's get out of here.,Scoop,0.16444175,-0.0832936,0.24773535
variant_orig,Cheers!,"It's okay. It's okay. It's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay.",Kanpai,-0.44037884,-0.058684923,0.38169393
variant_orig,I went to work on a day off (shivering voice,"He's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking.",Kyuku Tsuishi Kukin (quivering voice,-0.2604552,-0.046673533,0.21378165
