Phenomenon,Reference,Helsinki,Google,Helsinki_F1,Google_F1,score_diff
variant_orig,日本会議「下級国民に生まれた自己責任だ！Shine!」,"I'm going to tell you a little bit about it, and I'm going to tell you a little bit about it. &gt;&gt;I'm going to tell you a little bit about it. &gt;&gt;I'm going to tell you a little bit about it. &gt;&gt;I'm going to tell you a little bit about it. &gt;&gt;I'm going to talk about it. &gt;&gt;I'm going to tell you about it. &gt;&gt;I'm going to tell you about it. &gt;&gt;I'm going to tell you about it. &gt;&gt;&gt;&gt;I'm going to tell you. &gt;&gt; &gt;&gt;&gt;&gt;&gt;I'm going to tell you'm going to talk about it. &gt;&gt; &gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;I","Japan Conference ""Self -responsibility born to lower -class people! SHINE!""",-0.8614994,-0.41396445,0.44753498
variant_orig,かんぱぁい,"It's okay. It's okay. It's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay, it's okay.",Kanpai,-0.7934638,-0.3628174,0.43064642
variant_orig,きゅうじつしゅっきん(震え声,"He's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking, he's shaking.",Kyuku Tsuishi Kukin (quivering voice,-0.7079506,-0.35779685,0.35015374
variant_orig,フッフーーーウ！！！金曜日！明日は休み！！フッフーーーウ！！！！フーーーウ！！！フーーーウ！！！！  なんか永い,Ha Ni!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,Huff!!!Friday!Closed tomorrow!!Huff!!!!Hoooo!!!Hoooo!!!!Something long,-0.6769737,-0.5079391,0.1690346
variant_orig,なんやこの暖かさァ！！！！！,It's so hot!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,What a warmth!!!!!,-0.612944,-0.49966592,0.11327809
variant_orig,steamげーむ,"Come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on.",Steam game,-0.6103366,-0.18286726,0.42746934
variant_orig,ぼく、あした、おとまり。,"I've got it. I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it, I've got it.","I, tomorrow, Otomari.",-0.60577446,-0.2563998,0.34937465
variant_orig,イヌもこんな表情するのかﾜﾗﾀ,"Do dogs look like this, Wallata?",Do dogs also look like this?,-0.59299564,-0.5369047,0.05609095
variant_orig,増える高齢者クレーマー、悩むサービス業の若者たち  すいませんすいませんってそれしか言えんのかこのサルゥ！,That's all I can tell you!,"This is the only thing that can be said that the elderly Kramer, which is increasing, and the young people in the troubled service industry are sorry!",-0.57523197,-0.5108876,0.06434435
variant_orig,アツゥイ！,"Oh, my God!",Atsui!,-0.5628088,-0.46300063,0.09980819
